Vị trí quan trắc,KHM,Quý,Nhiệt độ,pH,DO,Độ muối,Độ đục,Độ trong,TSS,Amoni,Phosphat,Tổng xianua,Florua,"Tổng dầu, mỡ khoáng",Coliform,As,Hg,Pb,Cd,Fe,Mn,Cu,Zn,Cr,Cr(VI),Tổng phenol,Aldrin,BHC,Dieldrin,DDTs,Heptachlor & Heptachloreproxide
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 2 2021,27.9,8.19,6.89,30.0,18.24,0.6,17.6,0.015,0.01,0.0005,0.836,0.15,70.0,0.0012,0.00025,0.00045,0.0001,0.0153,0.0004,0.00045,0.0069,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 3 2021,30.1,7.83,6.14,29.9,18.24,0.8,17.5,0.015,0.01,0.0005,0.77,0.15,70.0,0.0019,0.00025,0.00045,0.0001,0.0124,0.0004,0.00045,0.0093,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 4 2021,25.0,8.15,6.66,30.1,19.56,0.7,17.6,0.015,0.01,0.0005,0.787,0.15,90.0,0.0014,0.00025,0.00045,0.0001,0.0229,0.0004,0.00045,0.0082,0.00045,0.0025,0.001,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 1 2022,20.4,8.13,6.37,30.0,18.98,0.6,17.6,0.015,0.01,0.0005,0.667,0.15,150.0,0.0013,0.00025,0.00045,0.0001,0.0332,0.0004,0.00045,0.0048,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 2 2022,24.3,8.1,6.3,29.8,19.45,0.5,17.5,0.015,0.01,0.0005,0.673,0.15,90.0,0.0018,0.00025,0.00045,0.0001,0.0134,0.0004,0.00045,0.0073,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 3 2022,28.2,8.06,6.22,29.6,19.68,0.5,18.2,0.015,0.01,0.0005,0.707,0.15,200.0,0.0015,0.00025,0.00045,0.0001,0.0287,0.0004,0.00045,0.0053,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 4 2022,25.5,8.03,6.12,29.7,19.94,0.5,18.2,0.015,0.01,0.0005,0.639,0.15,40.0,0.0016,0.00025,0.00045,0.0001,0.0144,0.0004,0.00045,0.0062,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 1 2023,21.1,8.15,6.32,30.2,18.67,0.8,17.2,0.037,0.01,0.0005,0.835,0.15,300.0,0.0018,0.00025,0.00045,0.0001,0.0189,0.0004,0.00045,0.0088,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 2 2023,24.8,8.07,6.2,29.6,19.68,0.5,18.2,0.041,0.01,0.0005,0.79,0.15,400.0,0.0019,0.00025,0.00045,0.0001,0.0179,0.0004,0.00045,0.0094,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 3 2023,28.0,8.04,6.27,29.5,19.77,0.5,18.5,0.044,0.01,0.0005,0.819,0.15,250.0,0.0012,0.00025,0.00045,0.0001,0.0228,0.0004,0.00045,0.0081,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 4 2023,25.1,8.02,6.3,29.6,19.64,0.5,17.6,0.038,0.01,0.0005,0.804,0.15,150.0,0.0017,0.00025,0.00045,0.0001,0.0237,0.0004,0.00045,0.0098,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 1 2024,21.0,8.13,6.26,30.1,18.78,0.7,17.2,0.032,0.01,0.0015,0.742,0.15,1.0,0.0016,0.0001,0.0001,0.0001,0.0923,0.0041,0.0016,0.0116,0.0006,0.0035,0.0002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 2 2024,25.0,8.09,6.12,29.7,19.79,0.4,18.2,0.052,0.01,0.0015,0.777,0.15,1.0,0.0018,0.0001,0.0001,0.0001,0.0771,0.0031,0.001,0.0098,0.0004,0.0035,0.0002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 3 2024,27.9,8.05,6.18,29.3,19.86,0.4,17.2,0.056,0.01,0.0015,0.813,0.15,1.0,0.0023,5e-05,0.0001,0.0001,0.2921,0.00015,0.00015,0.0932,0.0001,0.0035,0.0002,x,x,x,x,x
Khu vực cảng 10-10 - Cẩm Phả,NB26,Quý 4 2024,24.5,8.08,6.2,29.5,18.29,0.6,15.6,0.047,0.01,0.0015,0.884,0.15,1.0,0.0015,0.0001,0.0001,0.0001,0.0597,0.00015,0.00015,0.001,0.0001,0.0035,0.0002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 1 2021,22.3,7.6,6.02,25.4,27.6,0.6,26.3,0.015,0.01,0.0005,0.636,0.15,1.5,0.0006,0.00025,0.00045,0.0001,0.0198,0.0004,0.00045,0.0057,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 2 2021,29.9,7.82,6.51,25.7,25.8,0.9,24.7,0.015,0.01,0.0005,0.725,0.15,1.5,0.0011,0.00025,0.00045,0.0001,0.0091,0.0004,0.00045,0.0143,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 3 2021,31.8,7.67,6.11,25.5,19.45,1.0,18.4,0.041,0.01,0.0005,0.75,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0107,0.0004,0.00045,0.0118,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 4 2021,25.1,7.75,6.16,25.6,16.9,1.0,15.2,0.015,0.01,0.0005,0.807,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0105,0.0004,0.00045,0.0177,0.00045,0.0025,0.001,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 1 2022,19.9,7.82,5.95,25.7,16.84,0.8,15.2,0.015,0.01,0.0005,0.699,0.15,1.5,0.0008,0.00025,0.00045,0.0001,0.0198,0.0004,0.00045,0.0066,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 2 2022,22.0,7.8,5.88,25.5,16.99,0.7,15.3,0.054,0.01,0.0005,0.784,0.15,1.5,0.0019,0.00025,0.00045,0.0001,0.0125,0.0004,0.00045,0.0106,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 3 2022,33.2,7.76,5.82,25.3,17.68,0.6,16.3,0.056,0.01,0.0005,0.621,0.15,1.5,0.001,0.00025,0.00045,0.0001,0.0207,0.0004,0.00045,0.0048,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 4 2022,26.2,7.79,5.76,25.4,17.21,0.5,15.2,0.048,0.01,0.0005,0.69,0.15,1.5,0.0017,0.00025,0.00045,0.0001,0.0146,0.0004,0.00045,0.0082,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 1 2023,21.5,7.86,5.98,25.9,16.65,0.7,15.2,0.061,0.01,0.0005,0.802,0.15,1.5,0.002,0.00025,0.00045,0.0001,0.0163,0.0004,0.00045,0.0101,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 2 2023,25.8,7.75,5.8,25.2,17.35,0.6,15.799999999999999,0.067,0.01,0.0005,0.79,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0113,0.0004,0.00045,0.0085,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 3 2023,31.6,7.82,5.76,25.2,17.83,0.5,15.3,0.064,0.01,0.0005,0.825,0.15,1.5,0.0008,0.00025,0.00045,0.0001,0.0368,0.0004,0.00045,0.0069,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 4 2023,30.8,7.85,5.79,25.3,17.66,0.5,16.5,0.059,0.01,0.0005,0.81,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0176,0.0004,0.00045,0.0095,0.00045,0.0025,0.002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 1 2024,21.3,7.89,5.92,26.0,16.75,0.6,14.7,0.064,0.01,0.0015,0.781,0.15,1.0,0.0016,0.0001,0.0001,0.0001,0.0586,0.0047,0.0018,0.0088,0.0007,0.0035,0.0002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 2 2024,25.6,7.79,5.89,25.0,17.52,0.5,15.5,0.072,0.01,0.0015,0.725,0.15,1.0,0.0013,0.0001,0.0001,0.0001,0.0711,0.0034,0.002,0.0074,0.0006,0.0035,0.0002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 3 2024,29.8,7.86,5.64,25.0,18.22,0.4,14.2,0.058,0.01,0.0015,0.845,0.15,1.0,0.0014,0.0003,0.0001,0.0001,0.2515,0.00015,0.00015,0.2105,0.0002,0.0035,0.0002,x,x,x,x,x
Khu vực cửa sông Mông Dương - TP.  Cẩm Phả,NB27,Quý 4 2024,30.5,7.8,5.68,25.0,17.66,0.5,15.2,0.043,0.01,0.0015,0.729,0.15,1.0,0.0012,0.0001,0.0001,0.0001,0.0505,0.0047,0.00015,0.001,0.0001,0.0035,0.0002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 1 2021,30.8,7.84,5.92,25.8,21.6,0.8,20.4,0.056,0.01,0.0005,0.681,0.15,150.0,0.0009,0.00025,0.00045,0.0001,0.0244,0.0004,0.00045,0.0081,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 2 2021,28.9,8.08,6.79,25.9,18.45,1.5,17.5,0.054,0.01,0.0005,0.816,0.15,200.0,0.0012,0.00025,0.00045,0.0001,0.0157,0.0004,0.00045,0.0113,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 3 2021,33.5,8.02,6.21,25.7,17.26,1.3,16.3,0.063,0.01,0.0005,0.638,0.15,250.0,0.0015,0.00025,0.00045,0.0001,0.0128,0.0004,0.00045,0.012,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 4 2021,25.0,8.01,6.26,26.0,8.49,1.2,7.6,0.037,0.01,0.0005,0.827,0.15,150.0,0.0015,0.00025,0.00045,0.0001,0.0128,0.0004,0.00045,0.0119,0.00045,0.0025,0.001,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 1 2022,20.5,8.02,6.19,26.1,8.32,1.0,7.6,0.047,0.01,0.0005,0.815,0.15,200.0,0.0006,0.00025,0.00045,0.0001,0.0244,0.0004,0.00045,0.0093,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 2 2022,22.3,8,6.12,26.0,8.56,0.8,7.8,0.063,0.01,0.0005,0.752,0.15,250.0,0.0017,0.00025,0.00045,0.0001,0.0192,0.0004,0.00045,0.0088,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 3 2022,28.9,7.98,6.08,25.9,8.78,0.7,8.3,0.072,0.01,0.0005,0.694,0.15,1.5,0.0009,0.00025,0.00045,0.0001,0.0339,0.0004,0.00045,0.0125,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 4 2022,29.5,8.01,6.04,26.0,8.68,0.6,7.6,0.071,0.01,0.0005,0.709,0.15,200.0,0.002,0.00025,0.00045,0.0001,0.013,0.0004,0.00045,0.0099,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 1 2023,21.8,8.04,6.13,26.3,8.39,1.1,7.3,0.076,0.01,0.0005,0.828,0.15,1.5,0.0017,0.00025,0.00045,0.0001,0.0115,0.0004,0.00045,0.0122,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 2 2023,29.4,7.98,6.04,25.8,8.84,0.8,7.3,0.082,0.01,0.0005,0.829,0.15,1.5,0.0015,0.00025,0.00045,0.0001,0.0256,0.0004,0.00045,0.0079,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 3 2023,28.6,8.03,6.02,25.7,8.85,0.6,7.6,0.083,0.01,0.0005,0.766,0.15,1.5,0.0007,0.00025,0.00045,0.0001,0.0421,0.0004,0.00045,0.0113,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 4 2023,25.4,8.02,5.99,25.8,8.74,0.7,7.5,0.077,0.01,0.0005,0.785,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0304,0.0004,0.00045,0.0081,0.00045,0.0025,0.002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 1 2024,21.6,8.02,6.06,26.4,8.47,1.0,7.6,0.072,0.01,0.0015,0.794,0.15,1.0,0.0014,0.0001,0.0001,0.0001,0.0479,0.004,0.0014,0.0113,0.0004,0.0035,0.0002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 2 2024,29.7,8,6.11,25.7,8.96,0.9,7.2,0.081,0.01,0.0015,0.81,0.15,1.0,0.0012,0.0001,0.0001,0.0001,0.0622,0.003,0.0017,0.0096,0.0003,0.0035,0.0002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 3 2024,30.5,8.06,6.08,25.6,8.94,0.6,7.2,0.076,0.01,0.0015,0.82,0.15,1.0,0.0016,0.0008,0.0001,0.0001,0.2323,0.00015,0.00015,0.0177,0.0001,0.0035,0.0002,x,x,x,x,x
"Khu vực ven bờ xã Cẩm Hải, TP.  Cẩm Phả",NB28,Quý 4 2024,31.2,8.05,5.9,26.0,8.74,0.8,6.2,0.067,0.01,0.0015,0.768,0.15,1.0,0.0008,0.0002,0.0001,0.0001,0.068,0.0055,0.00015,0.001,0.0001,0.0035,0.0002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 1 2021,21.9,7.96,6.52,26.4,7.42,1.0,6.4,0.015,0.01,0.0005,0.753,0.15,1.5,0.0015,0.00025,0.00045,0.0001,0.0282,0.0004,0.00045,0.0053,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 2 2021,28.4,8.02,6.96,26.2,6.28,1.6,5.8,0.015,0.01,0.0005,0.823,0.15,1.5,0.0012,0.00025,0.00045,0.0001,0.0294,0.0022,0.00045,0.013,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 3 2021,30.2,8.06,6.35,26.0,6.55,1.4,5.6,0.015,0.01,0.0005,0.73,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0243,0.0031,0.00045,0.0145,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 4 2021,25.2,8.04,6.42,26.3,6.85,1.5,5.4,0.015,0.01,0.0005,0.78,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0249,0.0039,0.00045,0.0186,0.00045,0.0025,0.001,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 1 2022,20.8,8.06,6.29,26.4,6.77,1.4,6.2,0.015,0.01,0.0005,0.731,0.15,1.5,0.0011,0.00025,0.00045,0.0001,0.0282,0.0004,0.00045,0.0078,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 2 2022,22.7,8.04,6.2,26.3,6.88,1.2,6.5,0.015,0.01,0.0005,0.726,0.15,1.5,0.0024,0.00025,0.00045,0.0001,0.0331,0.0004,0.00045,0.0062,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 3 2022,29.2,8.02,6.18,26.2,6.95,1.1,6.2,0.015,0.01,0.0005,0.648,0.15,1.5,0.0013,0.00025,0.00045,0.0001,0.0259,0.0004,0.00045,0.0093,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 4 2022,26.4,8.04,6.12,26.3,6.86,1.0,6.1,0.015,0.01,0.0005,0.671,0.15,1.5,0.0027,0.00025,0.00045,0.0001,0.0259,0.0037,0.00045,0.0078,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 1 2023,21.9,8.08,6.32,26.6,6.86,1.5,5.7,0.015,0.01,0.0005,0.809,0.15,1.5,0.0025,0.00025,0.00045,0.0001,0.0321,0.0041,0.00045,0.0085,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 2 2023,26.4,8.01,6.12,26.1,6.97,1.1,6.1,0.015,0.01,0.0005,0.849,0.15,1.5,0.0021,0.00025,0.00045,0.0001,0.0229,0.0004,0.00045,0.0072,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 3 2023,28.8,8.06,6.11,26.1,7.06,1.0,6.3,0.047,0.01,0.0005,0.746,0.15,1.5,0.0012,0.00025,0.00045,0.0001,0.0254,0.0004,0.00045,0.0938,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 4 2023,25.7,8.04,6.15,26.2,7.0,1.0,6.2,0.065,0.01,0.0005,0.797,0.15,1.5,0.0024,0.00025,0.00045,0.0001,0.0266,0.0004,0.00045,0.0103,0.00045,0.0025,0.002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 1 2024,21.7,8.05,6.24,26.5,6.97,1.4,5.2,0.074,0.01,0.0015,0.755,0.15,1.0,0.0018,0.0001,0.0001,0.0001,0.0821,0.0028,0.0019,0.0143,0.0013,0.0035,0.0002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 2 2024,26.7,8.03,6.19,26.0,6.82,1.0,5.5,0.086,0.01,0.0015,0.823,0.15,1.0,0.0014,0.0001,0.0001,0.0001,0.0686,0.0021,0.0009,0.0121,0.0011,0.0035,0.0002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 3 2024,28.4,8.04,6.19,26.0,7.19,1.1,4.1,0.043,0.01,0.0015,0.787,0.15,1.0,0.0038,0.0001,0.0001,0.0001,0.2736,0.00015,0.00015,0.0091,0.0001,0.0035,0.0002,x,x,x,x,x
Luồng Voi Lớn phía Tây xã Đoàn Kết- Vân Đồn,NB29,Quý 4 2024,27.8,8.02,6.08,26.3,7.0,1.2,4.8,0.039,0.01,0.0015,0.852,0.15,1.0,0.0012,0.0004,0.0001,0.0001,0.0967,0.0068,0.00015,0.0057,0.0001,0.0035,0.0002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 1 2021,23.0,8.01,6.72,29.8,7.78,1.2,7.2,0.044,0.01,0.0005,0.642,0.15,1.5,0.0011,0.00025,0.00045,0.0001,0.0239,0.0004,0.00045,0.001,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 2 2021,28.0,7.98,6.88,29.7,7.94,1.4,6.2,0.036,0.01,0.0005,0.777,0.15,1.5,0.0013,0.00025,0.00045,0.0001,0.0238,0.0004,0.00045,0.0053,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 3 2021,29.1,7.92,6.45,29.5,7.89,1.2,6.7,0.048,0.01,0.0005,0.684,0.15,1.5,0.0015,0.00025,0.00045,0.0001,0.0228,0.0004,0.00045,0.0087,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 4 2021,25.1,7.95,6.33,29.8,8.11,1.1,7.3,0.045,0.01,0.0005,0.767,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0257,0.0004,0.00045,0.0084,0.00045,0.0025,0.001,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 1 2022,21.2,7.98,6.24,29.9,8.24,1.0,7.4,0.056,0.01,0.0005,0.744,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0239,0.0004,0.00045,0.0033,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 2 2022,23.0,7.95,6.16,29.8,8.44,0.9,7.6,0.071,0.01,0.0005,0.699,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0258,0.0004,0.00045,0.0091,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 3 2022,29.4,7.93,6.11,29.6,8.58,0.8,7.4,0.063,0.01,0.0005,0.746,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0197,0.0004,0.00045,0.0051,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 4 2022,26.1,7.98,6.05,29.7,8.44,0.8,7.5,0.075,0.01,0.0005,0.639,0.15,1.5,0.0015,0.00025,0.00045,0.0001,0.0212,0.0004,0.00045,0.0111,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 1 2023,22.2,8.01,6.18,30.0,8.35,0.9,7.6,0.066,0.01,0.0005,0.789,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0157,0.0004,0.00045,0.0137,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 2 2023,23.8,7.92,6.09,29.7,8.63,0.9,7.5,0.087,0.01,0.0005,0.712,0.15,1.5,0.0018,0.00025,0.00045,0.0001,0.0202,0.0004,0.00045,0.011,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 3 2023,28.9,7.98,6.03,29.4,8.62,0.8,7.1,0.075,0.01,0.0005,0.779,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0214,0.0004,0.00045,0.0102,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 4 2023,26.1,8.01,6.06,29.5,8.51,0.8,7.3,0.082,0.01,0.0005,0.823,0.15,1.5,0.0022,0.00025,0.00045,0.0001,0.0317,0.0004,0.00045,0.0128,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 1 2024,22.0,8,6.12,30.1,8.47,0.8,7.3,0.091,0.01,0.0015,0.807,0.15,1.0,0.0017,0.0001,0.0001,0.0001,0.0682,0.0019,0.0013,0.015,0.0016,0.0035,0.0002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 2 2024,24.2,7.95,6.15,29.8,8.77,1.0,7.5,0.104,0.01,0.0015,0.829,0.15,1.0,0.0013,0.0001,0.0001,0.0001,0.0792,0.0014,0.0016,0.0127,0.0012,0.0035,0.0002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 3 2024,28.5,8,6.12,29.3,8.51,0.7,6.3,0.066,0.01,0.0015,0.826,0.15,1.0,0.0018,0.0002,0.0001,0.0001,0.2685,0.00015,0.00015,0.0118,0.0001,0.0035,0.0002,x,x,x,x,x
Ven bờ Đông Nam xã Đông Xá,NB30,Quý 4 2024,26.0,8.03,6.0,29.4,8.51,0.7,6.3,0.058,0.01,0.0015,0.813,0.15,1.0,0.0009,0.0001,0.0001,0.0001,0.0539,0.0064,0.00015,0.001,0.0001,0.0035,0.0002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 1 2021,22.4,8.02,6.81,29.5,6.97,0.9,5.2,0.015,0.01,0.0005,0.668,0.15,1.5,0.0009,0.00025,0.00045,0.0001,0.0175,0.0004,0.00045,0.001,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 2 2021,28.7,8.09,6.86,29.5,5.28,1.3,4.9,0.084,0.01,0.0005,0.699,0.15,1.5,0.0016,0.00025,0.00045,0.0001,0.0158,0.0004,0.00045,0.0025,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 3 2021,29.3,8.06,6.62,29.3,5.95,1.2,5.2,0.106,0.01,0.0005,0.704,0.15,1.5,0.0019,0.00025,0.00045,0.0001,0.0133,0.0004,0.00045,0.0074,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 4 2021,25.2,8.06,6.28,29.6,6.36,1.1,5.4,0.063,0.01,0.0005,0.728,0.15,1.5,0.0014,0.00025,0.00045,0.0001,0.0188,0.0004,0.00045,0.0052,0.00045,0.0025,0.001,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 1 2022,21.8,8.08,6.17,29.7,6.47,1.0,6.2,0.037,0.01,0.0005,0.66,0.15,1.5,0.0008,0.00025,0.00045,0.0001,0.0175,0.0004,0.00045,0.001,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 2 2022,23.8,8.06,6.06,29.6,6.58,1.0,5.2,0.046,0.01,0.0005,0.739,0.15,1.5,0.0023,0.00025,0.00045,0.0001,0.0193,0.0004,0.00045,0.0054,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 3 2022,29.6,8.03,6.0,29.4,6.74,0.9,5.8,0.124,0.01,0.0005,0.707,0.15,1.5,0.0011,0.00025,0.00045,0.0001,0.0142,0.0004,0.00045,0.001,0.00045,0.0025,0.002,x,x,x,x,x
Ven bờ Đông xã Hạ Long- Vân Đồn,NB31,Quý 4 2022,26.2,8.05,6.04,29.5,6.57,0.8,5.8,0.057,0.01,0.0005,0.627,0.15,1.5,0.0028,0.00025,0.00045,0.0001,0.0128,0.0004,0.00045,0.0087,0.00045,0.0025,0.002,x,x,x,x,x
